rank,song,artist,year,song_id,word,sentiment_afinn,sentiment_bing,sentiment_nrc
34,dangerous,roxette,1990,2356,alive,1,NA,positive
34,dangerous,roxette,1990,2356,alive,1,NA,trust
75,epic,faith no more,1990,2396,alive,1,NA,anticipation
75,epic,faith no more,1990,2396,alive,1,NA,joy
75,epic,faith no more,1990,2396,alive,1,NA,positive
75,epic,faith no more,1990,2396,alive,1,NA,trust
77,just like jesse james,cher,1990,2398,alive,1,NA,anticipation
77,just like jesse james,cher,1990,2398,alive,1,NA,joy
77,just like jesse james,cher,1990,2398,alive,1,NA,positive
77,just like jesse james,cher,1990,2398,alive,1,NA,trust
92,forever,kiss,1990,2411,alive,1,NA,anticipation
92,forever,kiss,1990,2411,alive,1,NA,joy
92,forever,kiss,1990,2411,alive,1,NA,positive
92,forever,kiss,1990,2411,alive,1,NA,trust
96,without you,"m""otley cr""ue",1990,2415,alive,1,NA,anticipation
96,without you,"m""otley cr""ue",1990,2415,alive,1,NA,joy
96,without you,"m""otley cr""ue",1990,2415,alive,1,NA,positive
96,without you,"m""otley cr""ue",1990,2415,alive,1,NA,trust
96,without you,"m""otley cr""ue",1990,2415,alive,1,NA,anticipation
96,without you,"m""otley cr""ue",1990,2415,alive,1,NA,joy
96,without you,"m""otley cr""ue",1990,2415,alive,1,NA,positive
96,without you,"m""otley cr""ue",1990,2415,alive,1,NA,trust
96,without you,"m""otley cr""ue",1990,2415,alive,1,NA,anticipation
96,without you,"m""otley cr""ue",1990,2415,alive,1,NA,joy
96,without you,"m""otley cr""ue",1990,2415,alive,1,NA,positive
96,without you,"m""otley cr""ue",1990,2415,alive,1,NA,trust
96,without you,"m""otley cr""ue",1990,2415,alive,1,NA,anticipation
96,without you,"m""otley cr""ue",1990,2415,alive,1,NA,joy
96,without you,"m""otley cr""ue",1990,2415,alive,1,NA,positive
96,without you,"m""otley cr""ue",1990,2415,alive,1,NA,trust
17,right here right now,jesus jones,1991,2435,alive,1,NA,anticipation
17,right here right now,jesus jones,1991,2435,alive,1,NA,joy
17,right here right now,jesus jones,1991,2435,alive,1,NA,positive
17,right here right now,jesus jones,1991,2435,alive,1,NA,trust
